company,code,market_cap
Adyen,ADYEN.AS,$39.17 B
Allstate,ALL,$39.06 B
Jiangsu Hengrui Medicine,600276.SS,$39.02 B
Asian Paints,ASIANPAINT.NS,$38.95 B
Lloyds Banking Group,LYG,$38.89 B
Haleon,HLN,$38.87 B
Johnson Controls,JCI,$38.66 B
Ameriprise Financial,AMP,$38.64 B
Archer Daniels Midland (ADM),ADM,$38.59 B
Agilent Technologies,A,$38.35 B
Bank Mandiri,BMRI.JK,$38.27 B
Waste Connections,WCN,$38.12 B
Spotify,SPOT,$38.09 B
Ferguson,FERG,$38.00 B
Dow,DOW,$37.99 B
Murata Manufacturing (Murata Seisakusho),6981.T,$37.99 B
Sysco,SYY,$37.94 B
Bayer,BAYN.DE,$37.93 B
Coinbase,COIN,$37.87 B
Sun Pharmaceutical,SUNPHARMA.NS,$37.86 B
Maruti Suzuki India,MARUTI.NS,$37.85 B
DSV,DSV.VI,$37.81 B
Las Vegas Sands,LVS,$37.77 B
Biogen,BIIB,$37.66 B
General Mills,GIS,$37.65 B
DoorDash,DASH,$37.53 B
United Rentals,URI,$37.47 B
Alcon,ALC,$37.39 B
Foxconn Industrial Internet,601138.SS,$37.38 B
Prudential Financial,PRU,$37.31 B
Deutsche Börse,DB1.DE,$37.27 B
Uniper,UN01.DE,$37.27 B
Datadog,DDOG,$37.25 B
Ametek,AME,$37.22 B
BCE,BCE,$37.16 B
Compagnie de Saint-Gobain,SGO.PA,$37.08 B
MPLX,MPLX,$37.05 B
Constellation Energy,CEG,$37.02 B
NTPC Limited,NTPC.NS,$36.96 B
Cognizant Technology Solutions,CTSH,$36.94 B
Electronic Arts,EA,$36.64 B
Experian,EXPGF,$36.58 B
Givaudan,GIVN.SW,$36.55 B
Interactive Brokers,IBKR,$36.26 B
Banco Bradesco,BBD,$36.23 B
Ares Management,ARES,$36.20 B
Otis Worldwide,OTIS,$36.06 B
Yum! Brands,YUM,$36.03 B
Exelon Corporation,EXC,$35.98 B
Japan Post Bank,7182.T,$35.95 B
Fidelity National Information Services,FIS,$35.87 B
Palantir,PLTR,$35.83 B
Fastenal,FAST,$35.64 B
Partners Group,PGHN.SW,$35.63 B
E.ON,EOAN.DE,$35.54 B
Li Auto,LI,$35.48 B
BTG Pactual,BPAC3.SA,$35.37 B
Hyundai,HYMTF,$35.36 B
UOB,U11.SI,$35.34 B
Kuwait Finance House,KFH.KW,$35.32 B
Xcel Energy,XEL,$35.28 B
Rockwell Automation,ROK,$35.13 B
Tata Motors,TATAMOTORS.NS,$35.01 B
GE HealthCare Technologies,GEHC,$34.93 B
Exor,EXO.AS,$34.83 B
Capgemini,CAP.PA,$34.72 B
UltraTech Cement,ULTRACEMCO.NS,$34.68 B
Verisk Analytics,VRSK,$34.58 B
QNB Finansbank,QNBFB.IS,$34.56 B
