company,code,market_cap
NaaS Technology,NAAS,$0.36 B
Zumiez,ZUMZ,$0.36 B
American Well,AMWL,$0.36 B
Computer Engineering & Consulting,9692.T,$0.36 B
The Cross-Harbour Holdings,0032.HK,$0.36 B
Somany Ceramics,SOMANYCERA.NS,$0.36 B
SFC Energy AG,F3C.DE,$0.36 B
Branicks Group,DIC.DE,$0.36 B
Annexon,ANNX,$0.36 B
Genesco,GCO,$0.36 B
ElringKlinger,ZIL2.DE,$0.36 B
Nanobiotix,NBTX,$0.36 B
Pearl Abyss,263750.KQ,$0.36 B
Webzen,069080.KQ,$0.36 B
J.S.B.Co.,3480.T,$0.36 B
Endeavour Silver,EXK,$0.36 B
Carriage Services,CSV,$0.36 B
MBM Resources,5983.KL,$0.36 B
Xeris Pharmaceuticals,XERS,$0.36 B
Atlas Lithium,ATLX,$0.36 B
Via S.A.,VIIA3.SA,$0.36 B
Zynex,ZYXI,$0.36 B
Fate Therapeutics,FATE,$0.36 B
Materialise NV,MTLS,$0.36 B
MPS Limited,MPSLTD.NS,$0.36 B
Yiren Digital,YRD,$0.36 B
Bafang Yunji,2753.TW,$0.36 B
Emerald Holding,EEX,$0.35 B
Brødrene Hartmann A/S,HART.CO,$0.35 B
Kamada,KMDA,$0.35 B
Mineralys Therapeutics,MLYS,$0.35 B
Bridgewater Bancshares,BWB,$0.35 B
Team17,TM17.L,$0.35 B
Nano-X Imaging,NNOX,$0.35 B
Diana Shipping,DSX,$0.35 B
Bit Digital,BTBT,$0.35 B
Vasta Platform,VSTA,$0.35 B
NVE Corporation,NVEC,$0.35 B
Imagicaaworld Entertainment,IMAGICAA.NS,$0.35 B
Pizza Pizza,PZA.TO,$0.35 B
GreenTree Hospitality,GHG,$0.35 B
ADS-TEC Energy,ADSE,$0.35 B
Jakks Pacific,JAKK,$0.35 B
LiveVox,LVOX,$0.35 B
Amarin Corporation,AMRN,$0.35 B
NexPoint Real Estate Finance,NREF,$0.35 B
Sandhar,SANDHAR.NS,$0.35 B
Mereo BioPharma Group,MREO,$0.35 B
Adlai Nortye,ANL,$0.35 B
Gambling.com Group,GAMB,$0.35 B
RBB Bancorp,RBB,$0.35 B
Limoneira,LMNR,$0.34 B
Domo,DOMO,$0.34 B
Jindal Poly Films,JINDALPOLY.NS,$0.34 B
BRT Apartments,BRT,$0.34 B
FriendTimes,6820.HK,$0.34 B
Absci,ABSI,$0.34 B
Bank of Marin Bancorp,BMRC,$0.34 B
CARE's Ratings,CARERATING.NS,$0.34 B
Bandwidth,BAND,$0.34 B
PTC Financial Services,PFS.NS,$0.34 B
West Bancorporation,WTBA,$0.34 B
Dutch Lady Milk Industries,3026.KL,$0.34 B
China Motor Bus Company,0026.HK,$0.34 B
Park-Ohio Holdings,PKOH,$0.34 B
Dynamic Materials Corporation,BOOM,$0.34 B
James River Group,JRVR,$0.34 B
Sun Corp,6736.T,$0.34 B
Gannett,GCI,$0.34 B
Gilat Satellite Networks,GILT,$0.34 B
Aaron's,AAN,$0.34 B
SNP Schneider-Neureither & Partner,SHF.DE,$0.34 B
Regis Corporation,RGS,$0.34 B
Glass House Brands,GLASF,$0.34 B
Basler Aktiengesellschaft,BSL.DE,$0.34 B
Home Bancorp,HBCP,$0.34 B
Wendt India,WENDT.NS,$0.34 B
Cigniti Technologies,CIGNITITEC.NS,$0.34 B
Playstudios,MYPS,$0.34 B
Jumia,JMIA,$0.34 B
Solaris Oilfield Infrastructure,SOI,$0.34 B
Saratoga Investment,SAR,$0.33 B
Argonaut Gold,AR.TO,$0.33 B
iHeartMedia,IHRT,$0.33 B
McEwen Mining,MUX,$0.33 B
Allego,ALLG,$0.33 B
Penseco Financial Services,PFIS,$0.33 B
India Glycols,INDIAGLYCO.NS,$0.33 B
Sohu.com,SOHU,$0.33 B
Puyi Inc.,PUYI,$0.33 B
Citizens & Northern Corp,CZNC,$0.33 B
Ashiana Housing,ASHIANA.NS,$0.33 B
World Holdings,2429.T,$0.33 B
Regal Hotels International,0078.HK,$0.33 B
Office Properties Income Trust,OPI,$0.33 B
Dingdong Maicai,DDL,$0.33 B
Indian Metals & Ferro Alloys,IMFA.NS,$0.33 B
Newtek,NEWT,$0.32 B
11 bit studios,11B.WA,$0.32 B
Standard Lithium,SLI,$0.32 B
Nature's Sunshine Products,NATR,$0.32 B
Nuvation Bio,NUVB,$0.32 B
Anora Group,ANORA.HE,$0.32 B
Immobel,IMMO.BR,$0.32 B
Taysha Gene Therapies,TSHA,$0.32 B
Kingfa Science & Technology,KINGFA.NS,$0.32 B
Yellow Corporation,YELLQ,$0.32 B
Sierra Bancorp,BSRR,$0.32 B
Erasca,ERAS,$0.32 B
SEACOR Marine,SMHI,$0.32 B
Civeo,CVEO,$0.32 B
Parag Milk Foods,PARAGMILK.NS,$0.32 B
Aeroporto G. Marconi Bologna,ADB.MI,$0.32 B
Himalaya Shipping,HSHP,$0.32 B
Anika Therapeutics,ANIK,$0.32 B
Financial Institutions,FISI,$0.32 B
Willis Lease Finance Corporation,WLFC,$0.32 B
First Business Financial Services,FBIZ,$0.32 B
IBEX,IBEX,$0.32 B
Tactile Medical,TCMD,$0.32 B
Dollar Industries,DOLLAR.NS,$0.32 B
Avita Medical,RCEL,$0.32 B
uniQure,QURE,$0.32 B
Sify,SIFY,$0.32 B
Avon Protection,AVON.L,$0.32 B
Maxeon Solar Technologies,MAXN,$0.32 B
Solo Brands,DTC,$0.32 B
Anup Engineering,ANUP.NS,$0.32 B
Bank Mayapada Internasional,MAYA.JK,$0.32 B
Build-A-Bear,BBW,$0.32 B
Sanara MedTech,SMTI,$0.32 B
Apollo Pipes,APOLLOPIPE.NS,$0.32 B
Precigen,PGEN,$0.32 B
Transcontinental Realty Investors,TCI,$0.32 B
Melbourne Enterprises,0158.HK,$0.32 B
Stellus Capital,SCM,$0.31 B
Wallbox,WBX,$0.31 B
Coherus BioSciences,CHRS,$0.31 B
Hawesko,HAW.DE,$0.31 B
Arwana Citramulia Tbk,ARNA.JK,$0.31 B
Hallador Energy Company,HNRG,$0.31 B
OPTiM,3694.T,$0.31 B
Shattuck Labs,STTK,$0.31 B
SOPHiA GENETICS,SOPH,$0.31 B
TCNS Clothing,TCNSBRANDS.NS,$0.31 B
Repco Home Finance,REPCOHOME.NS,$0.31 B
First Bancorp,FNLC,$0.31 B
SRA Holdings,3817.T,$0.31 B
Farmers & Merchants Bancorp,FMAO,$0.31 B
UmweltBank,UBK.DE,$0.31 B
WideOpenWest,WOW,$0.31 B
PlayAGS,AGS,$0.31 B
Maruzen,5982.T,$0.31 B
Chargeurs,CRI.PA,$0.31 B
Tile Shop Holdings,TTSH,$0.31 B
Poseida Therapeutics,PSTX,$0.30 B
Transaction Capital,TCP.JO,$0.30 B
Nathan's Famous,NATH,$0.30 B
Industrial Logistics Properties Trust,ILPT,$0.30 B
Confidence Petroleum,CONFIPET.NS,$0.30 B
Orion Office REIT,ONL,$0.30 B
Primis Financial,FRST,$0.30 B
AngioDynamics,ANGO,$0.30 B
Potbelly Corporation,PBPB,$0.30 B
Sleep Number,SNBR,$0.30 B
Perfect Corp.,PERF,$0.30 B
Reach plc,RCH.L,$0.30 B
Fujibo Holdings,3104.T,$0.30 B
Selvaag Bolig,SBO.OL,$0.30 B
CompX International,CIX,$0.30 B
ShotSpotter,SSTI,$0.30 B
American Vanguard,AVD,$0.30 B
Barbeque Nation Hospitality,BARBEQUE.NS,$0.30 B
Traeger,COOK,$0.30 B
Orrstown Financial Services,ORRF,$0.30 B
Radiant Logistics,RLGT,$0.30 B
C4 Therapeutics,CCCC,$0.30 B
Digital Domain,0547.HK,$0.30 B
Marvelous,7844.T,$0.30 B
Northrim BanCorp,NRIM,$0.30 B
Spok Holdings,SPOK,$0.30 B
The Real Brokerage,REAX,$0.30 B
Southern First Bancshares,SFST,$0.30 B
BigBear.ai,BBAI,$0.30 B
Rimini Street,RMNI,$0.30 B
LexinFintech Holdings,LX,$0.30 B
Nordic Paper,NPAPER.ST,$0.29 B
Restaurant Brands New Zealand,RBD.NZ,$0.29 B
Monte Rosa Therapeutics,GLUE,$0.29 B
Investors Title Company,ITIC,$0.29 B
Uranium Royalty,UROY,$0.29 B
Magnachip,MX,$0.29 B
Semler Scientific,SMLR,$0.29 B
Clariane,CLARI.PA,$0.29 B
Utah Medical Products,UTMD,$0.29 B
Repare Therapeutics,RPTX,$0.29 B
Coelacanth Energy,CEI.V,$0.29 B
TrueCar,TRUE,$0.29 B
Skipper Limited,SKIPPER.NS,$0.29 B
Orange County Bancorp,OBT,$0.29 B
VersaBank,VBNK,$0.29 B
ON24,ONTF,$0.29 B
Weyco Group,WEYS,$0.29 B
MBIA,MBI,$0.29 B
Bannerman Energy,BMN.AX,$0.29 B
New Pacific Metals,NEWP,$0.29 B
HF Foods Group,HFFG,$0.29 B
Nkarta,NKTX,$0.29 B
Honda Siel Power Products,HONDAPOWER.NS,$0.29 B
Agenus,AGEN,$0.29 B
American Realty Investors,ARL,$0.29 B
Granite Point Mortgage Trust,GPMT,$0.29 B
Cooper Standard,CPS,$0.29 B
Cardlytics,CDLX,$0.29 B
HUB Cyber Security,HUBC,$0.29 B
Tide Water Oil,TIDEWATER.NS,$0.29 B
Foseco India,FOSECOIND.NS,$0.28 B
Northwest Pipe Company,NWPX,$0.28 B
Eagle Nice,2368.HK,$0.28 B
Eastman Kodak Company,KODK,$0.28 B
LivePerson,LPSN,$0.28 B
Ring Energy,REI,$0.28 B
Viemed Healthcare,VMD,$0.28 B
Y-mAbs Therapeutics,YMAB,$0.28 B
ASA Gold and Precious Metals,ASA,$0.28 B
Intrepid Potash,IPI,$0.28 B
Addiko Bank,ZYE1.F,$0.28 B
DouYu,DOYU,$0.28 B
Unity Bancorp,UNTY,$0.28 B
Chinese Estates Holdings,0127.HK,$0.28 B
Metalla Royalty & Streaming,MTA,$0.28 B
Siyaram Silk Mills,SIYSIL.NS,$0.28 B
Verrica Pharmaceuticals,VRCA,$0.28 B
Alembic Limited,ALEMBICLTD.NS,$0.28 B
Chicago Atlantic Real Estate Finance,REFI,$0.28 B
Omega Therapeutics,OMGA,$0.28 B
908 Devices,MASS,$0.28 B
WhiteHorse Finance,WHF,$0.28 B
TScan Therapeutics,TCRX,$0.28 B
Energy Vault,NRGV,$0.28 B
Hindustan Oil Exploration Company,HINDOILEXP.NS,$0.28 B
Green Plains Partners,GPP,$0.28 B
Shimao Property,0813.HK,$0.28 B
Waterstone Financial,WSBF,$0.28 B
Immutep,IMMP,$0.28 B
Senseonics Holdings,SENS,$0.28 B
Hong Kong Technology Venture Company (HKTV),1137.HK,$0.28 B
Ouster,OUST,$0.28 B
Banque nationale de Belgique,BNB.BR,$0.28 B
GoHealth,GOCO,$0.28 B
MM Forgings,MMFL.NS,$0.28 B
Lands' End,LE,$0.28 B
GH Research,GHRS,$0.28 B
Axogen,AXGN,$0.28 B
MYT Netherlands Parent (Mytheresa),MYTE,$0.28 B
Volue ASA,VOLUE.OL,$0.28 B
Tabula Rasa HealthCare,TRHC,$0.28 B
Sterling Bancorp,SBT,$0.28 B
Park Aerospace,PKE,$0.28 B
Civista Bancshares,CIVB,$0.28 B
Kyokuyo,1301.T,$0.28 B
NexPoint Diversified Real Estate Trust,NXDT,$0.28 B
Aker Horizons,AKH.OL,$0.28 B
Greenhill,GHL,$0.28 B
Porch Group,PRCH,$0.28 B
Atai Life Sciences,ATAI,$0.28 B
Mo-BRUK S.A.,MBR.WA,$0.28 B
Lyra Therapeutics,LYRA,$0.28 B
MVB Financial,MVBF,$0.27 B
bluebird bio,BLUE,$0.27 B
Troops,TROO,$0.27 B
Huhtamaki India,HUHTAMAKI.NS,$0.27 B
Augmedix,AUGX,$0.27 B
RPG Life Sciences,RPGLIFE.NS,$0.27 B
Trinseo,TSE,$0.27 B
NACCO Industries,NC,$0.27 B
People Can Fly,PCF.WA,$0.27 B
Marathon Gold,MOZ.TO,$0.27 B
The Honest Company,HNST,$0.27 B
Mersana Therapeutics,MRSN,$0.27 B
Humacyte,HUMA,$0.27 B
RumbleON,RMBL,$0.27 B
Backblaze,BLZE,$0.27 B
ESSA Pharma,EPIX,$0.27 B
Rayonier Advanced Materials,RYAM,$0.27 B
Gevo,GEVO,$0.27 B
Willdan Group,WLDN,$0.27 B
Matrix Service,MTRX,$0.27 B
Akebia Therapeutics,AKBA,$0.27 B
Jagran Prakashan,JAGRAN.NS,$0.27 B
Sutro Biopharma,STRO,$0.27 B
Filatex India,FILATEX.NS,$0.27 B
Lumax Industries,LUMAXIND.NS,$0.27 B
Corby Spirit and Wine,CSW-A.TO,$0.27 B
Outset Medical,OM,$0.27 B
Quad,QUAD,$0.27 B
Telos,TLS,$0.27 B
Quantum-Si,QSI,$0.27 B
Air Busan,298690.KS,$0.27 B
Mahanagar Telephone Nigam,MTNL.NS,$0.27 B
HKR International,0480.HK,$0.27 B
El Pollo Loco,LOCO,$0.26 B
NeuroPace,NPCE,$0.26 B
Prosperity Real Estate Investment Trust,0808.HK,$0.26 B
J.Jill,JILL,$0.26 B
Allgeier,AEIN.DE,$0.26 B
KCP Limited,KCP.NS,$0.26 B
BayCom (United Business Bank),BCML,$0.26 B
NI Holdings,NODK,$0.26 B
The Children's Place,PLCE,$0.26 B
Angel Oak REIT,AOMR,$0.26 B
Accuray,ARAY,$0.26 B
Tucows,TCX,$0.26 B
Franklin Street Properties,FSP,$0.26 B
Third Coast Bancshares,TCBX,$0.26 B
Latham Group,SWIM,$0.26 B
Ooma,OOMA,$0.26 B
GTPL Hathway,GTPL.NS,$0.26 B
K-Bro Linen,KBL.TO,$0.26 B
Capacit'e Infraprojects,CAPACITE.NS,$0.26 B
Escalade Sports,ESCA,$0.26 B
FutureFuel,FF,$0.26 B
Hooker Furniture,HOFT,$0.26 B
NL Industries,NL,$0.26 B
Rupa Company,RUPA.NS,$0.26 B
Los Andes Copper,LA.V,$0.26 B
Heron Therapeutics,HRTX,$0.26 B
Atea Pharmaceuticals,AVIR,$0.26 B
Esperion Therapeutics,ESPR,$0.26 B
Alpine Income Property Trust,PINE,$0.26 B
Hyderabad Industries Limited,HIL.NS,$0.26 B
Rigel Pharmaceuticals,RIGL,$0.26 B
PCB Bancorp,PCB,$0.25 B
Unitech Group,UNITECH.NS,$0.25 B
AirAsia,2630.TW,$0.25 B
LCNB,LCNB,$0.25 B
Red Violet,RDVT,$0.25 B
Sasken Technologies,SASKEN.NS,$0.25 B
Agora.io,API,$0.25 B
Priority Technology Holdings,PRTH,$0.25 B
Central Valley Community Bancorp,CVCY,$0.25 B
Orchestra BioMed,OBIO,$0.25 B
Belpointe OZ,OZ,$0.25 B
FREYR Battery,FREY,$0.25 B
Astec Lifesciences,ASTEC.NS,$0.25 B
StealthGas,GASS,$0.25 B
Inspired Entertainment,INSE,$0.25 B
Accelya,ACCELYA.NS,$0.25 B
Opthea,OPT,$0.25 B
Azerion Group,AZRN.AS,$0.25 B
Farfetch,FTCH,$0.25 B
Mangalam Cement,MANGLMCEM.NS,$0.25 B
GEN Restaurant Group,GENK,$0.25 B
Vizsla Silver,VZLA,$0.25 B
Inozyme Pharma,INZY,$0.25 B
Vidhi Specialty Food,VIDHIING.NS,$0.25 B
TH International (Tims China),THCH,$0.25 B
Southland Holdings,SLND,$0.25 B
Southern States Bancshares,SSBK,$0.25 B
FuRyu,6238.T,$0.25 B
Pexip,PEXIP.OL,$0.25 B
Solid Power,SLDP,$0.25 B
L.B. Foster,FSTR,$0.25 B
Aeva Technologies,AEVA,$0.25 B
eGain,EGAN,$0.24 B
ÖKOWORLD,VVV3.DE,$0.24 B
Ranger Energy Services,RNGR,$0.24 B
Valens Semiconductor,VLN,$0.24 B
Kaltura,KLTR,$0.24 B
Euroseas,ESEA,$0.24 B
Middlefield Banc,MBCN,$0.24 B
AMMO,POWW,$0.24 B
Bank7,BSVN,$0.24 B
Ascend Wellness (AWH),AAWH,$0.24 B
RCM Technologies,RCMT,$0.24 B
Cantabil Retail India,CANTABIL.NS,$0.24 B
Regional Management,RM,$0.24 B
Tamil Nadu Newsprint and Papers Limited,TNPL.NS,$0.24 B
Timberland Bancorp,TSBK,$0.24 B
Sight Sciences,SGHT,$0.24 B
Kandi Technologies Group,KNDI,$0.24 B
Hindustan Sanitaryware & Industries,HSIL.NS,$0.24 B
Destination XL,DXLG,$0.24 B
Vanda Pharmaceuticals,VNDA,$0.24 B
Fabasoft,FAA.DE,$0.24 B
AFC Gamma,AFCG,$0.24 B
Kamux,KAMUX.HE,$0.24 B
Enanta Pharmaceuticals,ENTA,$0.24 B
Offerpad,OPAD,$0.24 B
Allakos,ALLK,$0.24 B
City Office REIT,CIO,$0.24 B
Codorus Valley Bancorp,CVLY,$0.24 B
Stoke Therapeutics,STOK,$0.24 B
Geojit Financial Services,GEOJITFSL.NS,$0.24 B
Federal-Mogul Goetze,FMGOETZE.NS,$0.24 B
CSI Compressco,CCLP,$0.24 B
Comtech Telecommunications,CMTL,$0.24 B
Softstar Entertainment,6111.TWO,$0.24 B
Osisko Development,ODV,$0.24 B
XOMA,XOMA,$0.24 B
Clarus,CLAR,$0.24 B
Renovaro Biosciences,RENB,$0.24 B
UNITED,2497.T,$0.24 B
Pure Cycle (water),PCYO,$0.24 B
Innate Pharma,IPHA,$0.24 B
Rekor Systems,REKR,$0.24 B
Blade Air Mobility,BLDE,$0.23 B
Bushiroad,7803.T,$0.23 B
Quick Heal,QUICKHEAL.NS,$0.23 B
Zevra Therapeutics,ZVRA,$0.23 B
SML Isuzu,SMLISUZU.NS,$0.23 B
Plumas Bancorp,PLBC,$0.23 B
Transphorm,TGAN,$0.23 B
Cian,CIAN,$0.23 B
Acumen Pharmaceuticals,ABOS,$0.23 B
GTL Infrastructure,GTLINFRA.NS,$0.23 B
Taiga Building Products,TBL.TO,$0.23 B
Caledonia Mining,CMCL,$0.23 B
Ocwen,OCN,$0.23 B
Kingsway Financial Services,KFS,$0.23 B
OptimizeRx,OPRX,$0.23 B
Foghorn Therapeutics,FHTX,$0.23 B
Kopin Corporation,KOPN,$0.23 B
Amplify Energy,AMPY,$0.23 B
Pico Far East Holdings,0752.HK,$0.23 B
Brødrene A & O Johansen,AOJ-B.CO,$0.23 B
Luxfer,LXFR,$0.23 B
Parke Bancorp,PKBK,$0.23 B
Terran Orbital,LLAP,$0.23 B
Novonix,NVX,$0.23 B
Forum Energy Technologies,FET,$0.22 B
Gencor Industries,GENC,$0.22 B
Western Copper and Gold,WRN,$0.22 B
Luna Innovations,LUNA,$0.22 B
Aurora Cannabis,ACB,$0.22 B
Hong Leong Capital,5274.KL,$0.22 B
MISTRAS Group,MG,$0.22 B
Vera Bradley,VRA,$0.22 B
Bankwell Financial Group,BWFG,$0.22 B
Alico,ALCO,$0.22 B
Stratus Properties,STRS,$0.22 B
Superior Group of Companies,SGC,$0.22 B
C&F Financial Corporation,CFFI,$0.22 B
Rane Holdings,RANEHOLDIN.NS,$0.22 B
ThredUp,TDUP,$0.22 B
GPA,CBD,$0.22 B
Innodata,INOD,$0.22 B
Orrön Energy,ORRON.ST,$0.22 B
Praxis Precision Medicines,PRAX,$0.22 B
Ovid Therapeutics,OVID,$0.22 B
Princeton Bancorp,BPRN,$0.22 B
eHealth,EHTH,$0.22 B
Performant Financial,PFMT,$0.22 B
Jubilee Metals Group,JLP.L,$0.22 B
Nam Tai Property,NTPIF,$0.22 B
Fiesta Restaurant Group,FRGI,$0.22 B
scPharmaceuticals,SCPH,$0.22 B
Cellectis,CLLS,$0.22 B
Lesaka Technologies,LSAK,$0.22 B
Commercial Vehicle Group (CVG),CVGI,$0.22 B
M1 Kliniken AG,M12.DE,$0.22 B
Voxx International,VOXX,$0.22 B
Information Services Group,III,$0.22 B
Clipper Realty,CLPR,$0.22 B
Gallantt Ispat,GALLISPAT.NS,$0.22 B
Ascot Resources,AOT.TO,$0.22 B
ioneer,IONR,$0.22 B
Shengfeng Development,SFWL,$0.22 B
Lantronix,LTRX,$0.21 B
Tenaya Therapeutics,TNYA,$0.21 B
Twin Disc,TWIN,$0.21 B
Tillys,TLYS,$0.21 B
Aimia,AIM.TO,$0.21 B
Ottakringer Getränke,OTS.VI,$0.21 B
Immersion Corporation,IMMR,$0.21 B
Nelco,NELCO.NS,$0.21 B
Tidewater Renewables,LCFS.TO,$0.21 B
LuxUrban Hotels,LUXH,$0.21 B
LumiraDx,LMDX,$0.21 B
Ponce Financial Group,PDLB,$0.21 B
Argo Blockchain,ARBK,$0.21 B
NuScale Power,SMR,$0.21 B
SWK Holdings,SWKH,$0.21 B
Vertex Energy,VTNR,$0.21 B
Marimaca Copper,MARI.TO,$0.21 B
BCB Bancorp,BCBP,$0.21 B
Dhampur Sugar Mills,DHAMPURSUG.NS,$0.21 B
Akoya Biosciences,AKYA,$0.21 B
Dakota Gold,DC,$0.21 B
Maiden Holdings,MHLD,$0.21 B
Shankara Building,SHANKARA.NS,$0.21 B
Gati,GATI.NS,$0.21 B
Desktop Metal,DM,$0.21 B
Gossamer Bio,GOSS,$0.21 B
Quipt Home Medical,QIPT,$0.21 B
Hong Kong Ferry,0050.HK,$0.21 B
CPI Card Group,PMTS,$0.21 B
Innovid,CTV,$0.21 B
Asure Software,ASUR,$0.21 B
Big Lots,BIG,$0.21 B
Verastem Oncology,VSTM,$0.21 B
Larimar Therapeutics,LRMR,$0.21 B
Butterfly Network,BFLY,$0.21 B
Smith-Midland,SMID,$0.21 B
SelectQuote,SLQT,$0.21 B
First Internet Bancorp,INBK,$0.21 B
Koenig & Bauer,SKB.DE,$0.21 B
Lineage Cell Therapeutics,LCTX,$0.20 B
Northern Dynasty Minerals,NAK,$0.20 B
Hippo,HIPO,$0.20 B
Mammoth Energy Services,TUSK,$0.20 B
Outbrain,OB,$0.20 B
Prelude Therapeutics,PRLD,$0.20 B
DBV Technologies,DBVT,$0.20 B
Arteris,AIP,$0.20 B
Alto Ingredients,ALTO,$0.20 B
California BanCorp,CALB,$0.20 B
Braemar Hotels & Resorts,BHR,$0.20 B
Southern Petrochemical Industries Corp,SPIC.NS,$0.20 B
InfuSystem,INFU,$0.20 B
Perpetua Resources,PPTA,$0.20 B
Lifeway Foods,LWAY,$0.20 B
Gold Royalty Corp,GROY,$0.20 B
Graham Corporation,GHM,$0.20 B
Alpha Tau Medical,DRTS,$0.20 B
Galiano Gold,GAU,$0.20 B
Iteris,ITI,$0.20 B
Himatsingka Seide,HIMATSEIDE.NS,$0.20 B
Virco Manufacturing,VIRC,$0.20 B
BrainChip,BRN.AX,$0.20 B
American Battery Technology Company,ABAT,$0.20 B
"NN, Inc.",NNBR,$0.20 B
Puma Biotechnology,PBYI,$0.20 B
Akatsuki Inc,3932.T,$0.20 B
GEOX,GEO.MI,$0.20 B
Vadilal Industries,VADILALIND.NS,$0.20 B
The RealReal,REAL,$0.20 B
Arizona Metals,AMC.TO,$0.20 B
Seven Hills Realty Trust,SEVN,$0.20 B
1stdibs.Com,DIBS,$0.20 B
Mondee,MOND,$0.20 B
Codexis,CDXS,$0.20 B
ESSA Bancorp,ESSA,$0.20 B
Archosaur Games,9990.HK,$0.20 B
System1,SST,$0.19 B
Rocky Brands,RCKY,$0.19 B
Hyzon Motors,HYZN,$0.19 B
Wheels India,WHEELS.NS,$0.19 B
Aldeyra Therapeutics,ALDX,$0.19 B
Igarashi Motors India,IGARASHI.NS,$0.19 B
Aptech,APTECHT.NS,$0.19 B
HireQuest,HQI,$0.19 B
Ellomay Capital,ELLO,$0.19 B
Parken Sport (F.C. Copenhagen),PARKEN.CO,$0.19 B
Blink Charging,BLNK,$0.19 B
Western New England Bancorp,WNEB,$0.19 B
Gritstone bio,GRTS,$0.19 B
Heritage Insurance,HRTG,$0.19 B
Eos Energy Enterprises,EOSE,$0.19 B
Redwire,RDW,$0.19 B
GE Power India,GEPIL.NS,$0.19 B
Cosmo First,COSMOFIRST.NS,$0.19 B
Vaccitech,VACC,$0.19 B
National Bankshares,NKSH,$0.19 B
Quicklogic,QUIK,$0.19 B
Navkar Corp,NAVKARCORP.NS,$0.19 B
Westwing Group,WEW.DE,$0.19 B
AFC Energy,AFC.L,$0.19 B
RGC Resources,RGCO,$0.19 B
Cormedix,CRMD,$0.19 B
ESS Tech,GWH,$0.19 B
Immuneering,IMRX,$0.19 B
BlackSky Technology,BKSY,$0.19 B
Virginia National Bankshares,VABK,$0.18 B
I.g. Petrochemicals,IGPL.NS,$0.18 B
Ames National Corp.,ATLO,$0.18 B
Merrimack Pharmaceuticals,MACK,$0.18 B
PrimeEnergy Resources,PNRG,$0.18 B
The ONE Group Hospitality,STKS,$0.18 B
GlycoMimetics,GLYC,$0.18 B
MiX Telematics,MIXT,$0.18 B
FingerMotion,FNGR,$0.18 B
Werewolf Therapeutics,HOWL,$0.18 B
Cadiz,CDZI,$0.18 B
Summit Midstream,SMLP,$0.18 B
Sera Prognostics,SERA,$0.18 B
Lifecore Biomedical,LFCR,$0.18 B
Kitex Garments,KITEX.NS,$0.18 B
Allbirds,BIRD,$0.18 B
Ceragon Networks,CRNT,$0.18 B
2seventy bio,TSVT,$0.18 B
HomeStreet Bank,HMST,$0.18 B
Everspin Technologies,MRAM,$0.18 B
Urban One,UONE,$0.18 B
Direct Digital Holdings,DRCT,$0.18 B
Analogue Holdings (ATAL),1977.HK,$0.18 B
First Western Financial,MYFW,$0.18 B
UBM Development,UBS.VI,$0.18 B
Provident Bancorp,PVBC,$0.18 B
Identiv,INVE,$0.18 B
ReconAfrica,0XD.F,$0.18 B
Television Broadcasts (TVB),0511.HK,$0.18 B
NACL Industries,NACLIND.NS,$0.18 B
Aemetis,AMTX,$0.18 B
Profound Medical,PROF,$0.18 B
Gran Tierra Energy,GTE,$0.18 B
Expensify,EXFY,$0.18 B
Kuantum Papers,KUANTUM.NS,$0.18 B
Omeros Corporation,OMER,$0.18 B
Rottneros,RROS.ST,$0.18 B
American Public Education,APEI,$0.18 B
I-Mab Biopharma,IMAB,$0.18 B
AG Mortgage Investment Trust,MITT,$0.18 B
Motorcar Parts of America,MPAA,$0.18 B
Syros Pharmaceuticals,SYRS,$0.18 B
Síminn hf.,SIMINN.IC,$0.18 B
Duluth Holdings,DLTH,$0.18 B
Richardson Electronics,RELL,$0.18 B
Eurobio Scientific,ALERS.PA,$0.18 B
Mangalore Chemicals and Fertilizers,MANGCHEFER.NS,$0.18 B
Zomedica Pharmaceuticals,ZOM,$0.18 B
Harpoon Therapeutics,HARP,$0.18 B
Kokuyo Camlin,KOKUYOCMLN.NS,$0.18 B
Zura Bio,ZURA,$0.17 B
FinWise Bancorp,FINW,$0.17 B
Ten Square Games,TEN.WA,$0.17 B
Emperor International,0163.HK,$0.17 B
EMX Royalty,EMX,$0.17 B
Absa Bank,ABSP.JO,$0.17 B
Hawthorn Bancshares,HWBK,$0.17 B
KLX Energy Services,KLXE,$0.17 B
Mesoblast,MESO,$0.17 B
Theseus Pharmaceuticals,THRX,$0.17 B
StarTek,SRT,$0.17 B
Park City Group,PCYG,$0.17 B
kneat.com,FOBK.F,$0.17 B
Sporting Clube de Portugal,SCP.LS,$0.17 B
Aenza,AENZ,$0.17 B
Omaxe,OMAXE.NS,$0.17 B
Grindrod Shipping,GRIN,$0.17 B
Adaptimmune Therapeutics,ADAP,$0.17 B
Biodesix,BDSX,$0.17 B
Seres Therapeutics,MCRB,$0.17 B
CarParts.com,PRTS,$0.17 B
Canoo,GOEV,$0.17 B
Turtle Beach Corp,HEAR,$0.17 B
Vacasa,VCSA,$0.17 B
Serverworks,4434.T,$0.17 B
Mama's Creations,MAMA,$0.17 B
Monte Carlo Fashions,MONTECARLO.NS,$0.17 B
Scilex Holding,SCLX,$0.17 B
INEOS Styrolution,INEOSSTYRO.NS,$0.17 B
Tredegar,TG,$0.17 B
