company_x,esg_rating,stock_name,company_y,roe,company,code,market_cap
AECOM,29.8,NYS:ACM,,,AECOM,ACM,$12.11 B
"Aecon Group, Inc.",29.9,TSE:ARE,,,,,
AEDAS Homes SA,10.9,MCE:AEDAS,,,,,
Aedifica SA,11.1,BRU:AED,,,,,
Aegea Saneamento e Participaçoes SA,12.6,-,,,,,
Aegean Airlines SA,29.0,ATH:AEGN,,,,,
Aegis Logistics Ltd.,38.6,BOM:500003,,,,,
Aegon Ltd.,15.3,AMS:AGN,,,,,
Aehr Test Systems,22.2,NAS:AEHR,,,Aehr Test Systems,AEHR,$0.66 B
"Aekyung Industrial Co., Ltd.",32.6,KRX:018250,,,,,
AEM Holdings Ltd.,17.5,SES:AWX,,,,,
"Aemetis, Inc.",52.2,NAS:AMTX,,,,,
Aena S.M.E. SA,8.8,MCE:AENA,,,,,
AEON Co. (Malaysia) Bhd.,17.2,KLS:6599,,,,,
"AEON Co., Ltd.",24.5,TKS:8267,,,,,
AEON Credit Service (M) Bhd.,22.5,KLS:5139,,,,,
"AEON DELIGHT CO., LTD.",25.3,TKS:9787,,,,,
"AEON Fantasy Co., Ltd.",34.6,TKS:4343,,,,,
"AEON Financial Service Co., Ltd.",31.4,TKS:8570,,,,,
AEON Hokkaido Corp.,20.5,TKS:7512,,,,,
"AEON Mall Co., Ltd.",22.0,TKS:8905,,,,,
AEON REIT Investment Corp.,18.5,TKS:3292,,,,,
AEON Thana Sinsap (Thailand) Public Co. Ltd.,24.2,BKK:AEONTS,,,,,
"AEP Texas, Inc.",29.5,-,,,,,
AEP Transmission Co. LLC,44.6,-,,,,,
AerCap Holdings NV,20.0,NYS:AER,,,,,
Aeroporti di Roma SpA,13.9,-,,,,,
Aéroports de Montréal,17.0,-,,,,,
Aéroports de Paris ADP,18.1,PAR:ADP,,,,,
Aeropuerto Internacional De La Ciudad De México S.A. de C.V.,22.2,-,,,,,
Aeropuertos Dominicanos Siglo XXI SA,23.7,-,,,,,
"Aerospace Hi-Tech Holding Group Co., Ltd.",28.9,SHE:000901,,,,,
"Aerovate Therapeutics, Inc.",30.3,NAS:AVTE,,,,,
"AeroVironment, Inc.",28.7,NAS:AVAV,,,,,
AerSale Corp.,27.7,NAS:ASLE,,,,,
AES Andes SA,35.6,SGO:AESANDES,,,,,
AES Argentina Generación SA,17.1,-,,,,,
AES Brasil Energia SA,10.3,BSP:AESB3,,,,,
"Aeva Technologies, Inc.",37.2,NYS:AEVA,,,,,
AEW UK REIT Plc,16.5,LON:AEWU,,,,,
"AEye, Inc.",24.5,NAS:LIDR,,,,,
AF Gruppen ASA,33.8,OSL:AFG,,,,,
"AFC Gamma, Inc.",29.8,NAS:AFCG,,,,,
"Affiliated Managers Group, Inc.",21.5,NYS:AMG,,,,,
Affimed NV,29.6,NAS:AFMD,,,,,
Affin Bank Bhd.,25.4,KLS:5185,,,,,
Affinity Water Ltd.,27.5,-,,,,,
"Affirm Holdings, Inc.",27.4,NAS:AFRM,,,,,
Affle (India) Ltd.,20.5,BOM:542752,,,,,
Affordable Housing Finance Plc,29.6,-,,,,,
AFI Properties Ltd.,24.4,TAE:AFPR,,,,,
"Aflac, Inc.",18.3,NYS:AFL,,,,,
"AfreecaTV Co., Ltd.",20.8,KRX:067160,,,,,
Africa Finance Corp.,14.5,-,,,,,
Africa Israel Residences Ltd.,24.5,TAE:AFRE,,,,,
Africa Oil Corp.,43.9,TSE:AOI,,,,,
African Export-Import Bank,39.4,MAU:AEIB.N0004,,,,,
African Rainbow Minerals Ltd.,33.6,JSE:ARI,,,,,
Afrimat Ltd.,30.5,JSE:AFT,,,,,
AFRY AB,22.7,OME:AFRY,,,,,
After You Public Co. Ltd.,33.2,BKK:AU,,,,,
AG Anadolu Grubu Holding AS,31.5,IST:AGHOL.E,,,,,
"Ag Growth International, Inc.",22.6,TSE:AFN,,,,,
"AGC, Inc. (Japan)",22.1,TKS:5201,,,,,
AGCO Corp.,17.6,NYS:AGCO,,,,,
ageas SA/NV,20.7,BRU:AGS,,,,,
Agence Française de Développement,11.2,-,,,,,
Agence France Locale Société anonyme,18.3,-,,,,,
"Agenus, Inc.",27.6,NAS:AGEN,,,,,
Agfa-Gevaert NV,14.3,BRU:AGFB,,,,,
Agile Group Holdings Ltd.,17.5,HKG:3383,,,,,
"Agilent Technologies, Inc.",13.3,NYS:A,,,,,
"Agiliti, Inc. (Minnesota)",21.2,NYS:AGTI,,,,,
Agility Public Warehousing Co. KSC,20.7,KUW:AGLTY,,,,,
"Agilon Health, Inc.",26.0,NYS:AGL,,,,,
"Agilysys, Inc.",13.2,NAS:AGYS,,,,,
"Agios Pharmaceuticals, Inc.",23.7,NAS:AGIO,,,,,
AGL Energy Ltd.,35.6,ASX:AGL,,,,,
AGNC Investment Corp.,16.1,NAS:AGNC,,,,,
Agnico Eagle Mines Ltd.,21.4,TSE:AEM,,,,,
"Agora, Inc. (China)",25.9,NAS:API,,,,,
AGRANA Beteiligungs-AG,29.7,WBO:AGR,,,,,
Agree Realty Corp.,15.2,NYS:ADC,,,,,
Agricultural Bank of China (London Branch),26.1,-,,,,,
Agricultural Bank of China Ltd.,32.4,HKG:1288,,,,,
Agricultural Bank of China Ltd. (Singapore Branch),28.8,-,,,,,
Agricultural Development Bank of China,19.7,-,,,,,
Agritrade Resources Ltd.,55.7,-,,,,,
Agrosuper SA,34.1,-,,,,,
Agthia Group PJSC,30.9,ADS:AGTHIA,,,,,
Agua y Saneamientos Argentinos SA,37.1,-,,,,,
Aguas Andinas SA,22.0,SGO:AGUAS.A,,,,,
AGV Products Corp.,33.0,TAI:1217,,,,,
Ahli Bank QPSC,35.1,DSMD:ABQK,,,,,
Ahli United Bank,26.5,KUW:ALMUTAHED,,,Ahli United Bank,ALMUTAHED.KW,$1.94 B
"Ahnlab, Inc.",25.7,KRX:053800,,,,,
Ai Holdings Corp.,17.0,TKS:3076,,,,,
AIA Engineering Ltd.,23.9,BOM:532683,,,,,
AIA Group Ltd.,12.7,HKG:1299,,,,,
AIB Group plc,12.7,DUB:A5G,,,,,
Aibel ASA,14.6,-,,,,,
"Aica Kogyo Co., Ltd.",25.6,TKS:4206,,,,,
Aichi Corp.,29.4,TKS:6345,,,,,
"Aichi Financial Group, Inc.",34.2,TKS:7389,,,,,
Aichi Steel Corp.,37.9,TKS:5482,,,,,
Aida Engineering Ltd.,31.2,TKS:6118,,,,,
"Aier Eye Hospital Group Co., Ltd.",28.9,SHE:300015,,,,,
AIFUL Corp.,29.5,TKS:8515,,,,,
"AIMA Technology Group Co., Ltd.",13.0,SHG:603529,,,,,
AIMCo Realty Investors LP,28.5,-,,,,,
AIMS APAC REIT,12.4,SES:O5RU,,,,,
"Ain Holdings, Inc.",16.9,TKS:9627,,,,,
"Aiphone Co., Ltd.",23.7,TKS:6718,,,,,
Air Arabia PJSC,35.3,DFM:AIRARABIA,,,,,
Air Canada,25.7,TSE:AC,,,Air Canada,AC.TO,$4.86 B
Air China Ltd.,28.5,HKG:753,,,,,
Air France-KLM SA,30.0,PAR:AF,,,,,
Air Lease Corp.,20.4,NYS:AL,,,,,
Air Liquide SA,12.8,PAR:AI,,,,,
