GeoAreaCode,GeoAreaName,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
626,Timor-Leste,26.42857142857143 %,33.333333333333336 %,70.25641025641025 %,24.19047619047619 %,6.944444444444445 %,52.29166666666667 %,100 %,52.083333333333336 %,42.1875 %,30.833333333333336 %,25.864197530864196 %,32.72727272727273 %,6 %,15.384615384615383 %,45.29761904761905 %,22.777777777777775 %,69.19753086419753 %
768,Togo,38.33333333333333 %,54.16666666666667 %,72.43589743589743 %,52.666666666666664 %,16.666666666666664 %,78.02083333333334 %,100 %,42.70833333333333 %,57.8125 %,45.83333333333333 %,35.74074074074074 %,35.45454545454545 %,15.999999999999998 %,15.384615384615383 %,59.345238095238095 %,13.88888888888889 %,73.08641975308642 %
772,Tokelau,7.142857142857142 %,6.25 %,4.102564102564102 %,36.333333333333336 %,0 %,10.416666666666666 %,40 %,4.166666666666666 %,12.5 %,13.333333333333334 %,5.555555555555555 %,9.090909090909092 %,0 %,11.538461538461538 %,31.25 %,0 %,17.87037037037037 %
776,Tonga,22.61904761904762 %,42.50000000000001 %,67.17948717948718 %,26.333333333333332 %,6.944444444444445 %,51.770833333333336 %,100 %,46.875 %,48.4375 %,43.33333333333333 %,23.45679012345679 %,26.36363636363636 %,16.666666666666668 %,35.38461538461538 %,46.96428571428571 %,16.666666666666664 %,69.22839506172839 %
780,Trinidad and Tobago,24.404761904761905 %,41.25 %,56.282051282051285 %,23.333333333333332 %,20.833333333333336 %,35.625 %,100 %,39.58333333333333 %,67.1875 %,40 %,19.753086419753085 %,35.45454545454545 %,16.666666666666668 %,46.15384615384615 %,49.047619047619044 %,21.85185185185185 %,45.12345679012346 %
788,Tunisia,22.61904761904762 %,68.75000000000001 %,69.35897435897435 %,44.904761904761905 %,15.277777777777779 %,76.77083333333333 %,100 %,55.208333333333336 %,76.5625 %,35.833333333333336 %,22.22222222222222 %,35.45454545454545 %,0 %,15.384615384615383 %,61.42857142857142 %,26.52777777777778 %,65.12345679012346 %
792,Türkiye,51.66666666666667 %,38.54166666666667 %,77.05128205128204 %,53.85714285714285 %,19.444444444444446 %,47.604166666666664 %,100 %,63.541666666666664 %,76.5625 %,72.91666666666667 %,36.26543209876543 %,50.227272727272734 %,20.999999999999996 %,46.15384615384615 %,59.04761904761905 %,23.88888888888889 %,71.51234567901236 %
795,Turkmenistan,16.666666666666668 %,31.666666666666664 %,70 %,35.57142857142857 %,4.166666666666666 %,53.333333333333336 %,100 %,37.5 %,46.875 %,30.833333333333336 %,16.666666666666664 %,24.545454545454547 %,0 %,1.9230769230769231 %,55.714285714285715 %,16.296296296296294 %,35.8641975308642 %
796,Turks and Caicos Islands,7.142857142857142 %,6.25 %,13.076923076923078 %,24.904761904761905 %,0 %,32.5 %,70 %,12.5 %,18.75 %,15 %,5.555555555555555 %,13.636363636363635 %,0 %,21.538461538461537 %,22.916666666666664 %,4.166666666666666 %,19.72222222222222 %
798,Tuvalu,19.642857142857142 %,23.333333333333332 %,41.53846153846154 %,43.33333333333333 %,5.555555555555555 %,58.020833333333336 %,100 %,20.833333333333336 %,32.8125 %,25.833333333333336 %,18.82716049382716 %,15.454545454545453 %,16.666666666666668 %,1.5384615384615385 %,33.214285714285715 %,9.953703703703704 %,41.54320987654321 %
800,Uganda,49.88095238095238 %,68.75 %,80.12820512820512 %,25.666666666666664 %,38.88888888888889 %,79.89583333333333 %,100 %,62.5 %,65.625 %,53.333333333333336 %,41.2037037037037 %,45.45454545454545 %,16.666666666666668 %,0 %,47.38095238095239 %,26.52777777777778 %,74.75308641975307 %
804,Ukraine,45.83333333333333 %,56.25 %,67.94871794871794 %,37.93650793650794 %,27.77777777777778 %,63.92857142857142 %,80 %,55.208333333333336 %,80.35714285714286 %,49.53703703703704 %,36.11111111111111 %,41.36363636363637 %,21.66666666666667 %,26.153846153846157 %,61.42857142857142 %,10.606060606060606 %,59.61805555555555 %
784,United Arab Emirates,24.880952380952383 %,27.083333333333332 %,67.43589743589743 %,45.33333333333333 %,31.944444444444443 %,30.104166666666664 %,80 %,43.75 %,73.4375 %,48.33333333333333 %,17.006172839506174 %,48.86363636363637 %,10.888888888888888 %,16.153846153846153 %,46.48809523809525 %,14.86111111111111 %,49.5679012345679 %
826,United Kingdom of Great Britain and Northern Ireland,50.476190476190474 %,46.875 %,75.64102564102562 %,49.47089947089947 %,33.33333333333333 %,68.69047619047618 %,60 %,81.25 %,83.92857142857143 %,62.03703703703704 %,17.22222222222222 %,47.04545454545455 %,17 %,76.15384615384615 %,51.90476190476191 %,14.292929292929294 %,55.13888888888888 %
834,United Republic of Tanzania,38.69047619047619 %,64.58333333333334 %,73.07692307692307 %,33.42857142857142 %,22.22222222222222 %,73.33333333333333 %,100 %,41.66666666666667 %,67.1875 %,53.333333333333336 %,41.2037037037037 %,24.015151515151516 %,16.666666666666668 %,36.15384615384615 %,50.71428571428571 %,20.69444444444444 %,75.21604938271605 %
581,United States Minor Outlying Islands,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,10 %,0 %,0 %,0 %,10.769230769230768 %,18.47222222222222 %,0 %,0 %
840,United States of America,33.80952380952381 %,51.041666666666664 %,79.48717948717949 %,49.47089947089947 %,20.833333333333336 %,49.88095238095237 %,60 %,56.25 %,83.92857142857143 %,60.449735449735456 %,22.716049382716047 %,35.75757575757576 %,20.333333333333332 %,46.15384615384615 %,48.333333333333336 %,19.090909090909093 %,53.68055555555556 %
850,United States Virgin Islands,7.142857142857142 %,9.166666666666668 %,3.8461538461538463 %,0 %,0 %,24.166666666666664 %,50 %,8.333333333333332 %,8.333333333333332 %,17.5 %,5.555555555555555 %,18.181818181818183 %,0 %,12.307692307692308 %,27.083333333333332 %,0 %,13.703703703703704 %
858,Uruguay,54.047619047619044 %,67.70833333333334 %,73.84615384615384 %,70.23809523809523 %,33.33333333333333 %,55.41666666666667 %,100 %,72.91666666666666 %,82.8125 %,52.08333333333333 %,19.62962962962963 %,47.57575757575758 %,20.333333333333332 %,46.15384615384615 %,46.547619047619044 %,22.638888888888886 %,59.5679012345679 %
860,Uzbekistan,33.92857142857143 %,42.291666666666664 %,69.61538461538461 %,47 %,15.277777777777779 %,71.04166666666667 %,100 %,51.041666666666664 %,75 %,43.33333333333333 %,27.00617283950617 %,39.31818181818182 %,16.666666666666668 %,0 %,59.04761904761905 %,22.592592592592595 %,73.82716049382717 %
548,Vanuatu,21.428571428571434 %,46.25 %,60.38461538461538 %,26.333333333333332 %,5.555555555555555 %,56.458333333333336 %,100 %,33.33333333333333 %,35.9375 %,43.33333333333333 %,23.45679012345679 %,33.63636363636363 %,16.666666666666668 %,26.153846153846157 %,45.29761904761905 %,19.444444444444443 %,62.80864197530865 %
